,Year of manufacture,Make,Model,Transmission type,Km driven,Fuel type,Price (in Rs)
0,2017,Maruti,Swift Dzire ZXI,Manual,36953,Petrol,490000
1,2014,Maruti,Ertiga VXI CNG,Manual,70348,CNG,620000
2,2018,Maruti,Dzire VXI AMT,Automatic,51852,Petrol,574000
3,2014,Maruti,Swift Dzire ZDI,Manual,11144,Diesel,613000
4,2012,Maruti,Wagon R 1.0 VXI,Manual,42425,Petrol,238000
5,2015,Maruti,Wagon R 1.0 LXI CNG,Manual,79837,CNG,364000
6,2022,Maruti,Ertiga ZXI (O) CNG,Manual,20619,CNG,1192000
7,2016,Maruti,Baleno DELTA DIESEL 1.3,Manual,62767,Diesel,557000
8,2016,Maruti,Celerio ZXI AMT,Automatic,76727,Petrol,405000
9,2017,Maruti,Baleno ZETA PETROL 1.2,Manual,40995,Petrol,579000
10,2016,Maruti,Baleno DELTA PETROL 1.2,Manual,59679,Petrol,499000
11,2016,Maruti,Baleno DELTA PETROL 1.2,Manual,43273,Petrol,505000
12,2017,Maruti,Celerio VXI CNG,Manual,85712,CNG,403000
13,2017,Maruti,Wagon R 1.0 LXI CNG,Manual,56359,CNG,398000
14,2013,Maruti,Ertiga VXI,Manual,42588,Petrol,537000
15,2021,Maruti,Ciaz DELTA 1.5 SHVS MT PETROL,Manual,30926,Petrol,798000
16,2016,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,99679,Diesel,733000
17,2013,Maruti,Wagon R 1.0 LXI,Manual,21606,Petrol,296000
18,2020,Maruti,Baleno DELTA PETROL 1.2,Manual,33723,Petrol,621000
19,2015,Maruti,Ertiga ZXI,Manual,48033,Petrol,687000
20,2014,Maruti,Wagon R 1.0 LXI CNG,Manual,99498,CNG,313000
21,2014,Maruti,Swift VXI,Manual,29876,Petrol,413000
22,2022,Maruti,XL6 ZETA MT,Manual,9626,Petrol,990000
23,2014,Maruti,Swift VXI,Manual,53120,Petrol,392000
24,2013,Maruti,Wagon R 1.0 LXI CNG,Manual,80601,CNG,292000
25,2013,Maruti,Wagon R 1.0 VXI,Manual,44412,Petrol,285000
26,2020,Maruti,New Wagon-R VXI 1.2,Manual,20785,Petrol,538000
27,2019,Maruti,Celerio VXI CNG,Manual,35436,CNG,557000
28,2017,Maruti,Wagon R 1.0 VXI,Manual,34793,Petrol,401000
29,2017,Maruti,Wagon R 1.0 VXI,Manual,22280,Petrol,395000
30,2016,Maruti,Baleno ZETA PETROL 1.2,Manual,56794,Petrol,508000
31,2018,Maruti,Swift VXI AMT,Automatic,41110,Petrol,552000
32,2019,Maruti,New Wagon-R VXI (O) 1.2,Manual,25824,Petrol,528000
33,2015,Maruti,Swift Dzire VXI,Manual,84530,Petrol,369000
34,2020,Maruti,Baleno DELTA PETROL 1.2,Manual,29044,Petrol,594000
35,2015,Maruti,Wagon R 1.0 LXI CNG,Manual,70628,CNG,323000
36,2017,Maruti,Baleno ZETA PETROL 1.2,Manual,49544,Petrol,454000
37,2019,Maruti,New Wagon-R VXI 1.2,Manual,11829,Petrol,511000
38,2014,Maruti,Alto 800 LXI CNG,Manual,12529,CNG,246000
39,2017,Maruti,Celerio ZXI AMT,Automatic,42234,Petrol,420000
40,2016,Maruti,Wagon R 1.0 VXI,Manual,51265,Petrol,355000
41,2017,Maruti,Baleno DELTA PETROL 1.2,Manual,35708,Petrol,541000
42,2019,Maruti,Baleno DELTA CVT PETROL 1.2,Automatic,16547,Petrol,600000
43,2014,Maruti,Celerio VXI,Manual,65485,Petrol,299000
44,2020,Maruti,IGNIS ALPHA 1.2,Manual,20435,Petrol,573000
45,2011,Maruti,Swift ZXI,Manual,67725,Petrol,297000
46,2015,Maruti,Swift VXI,Manual,76928,Petrol,396000
47,2015,Maruti,Alto K10 VXI AMT,Automatic,50280,Petrol,288000
48,2016,Maruti,Vitara Brezza ZDI PLUS,Manual,85156,Diesel,614000
49,2015,Maruti,Ciaz ZXI,Manual,85628,Petrol,488999
50,2017,Maruti,Vitara Brezza VDI,Manual,53140,Diesel,662000
51,2017,Maruti,Ciaz ZDI+ SHVS,Manual,61662,Diesel,592000
52,2017,Maruti,Ciaz ZDI+ SHVS,Manual,75584,Diesel,606000
53,2015,Maruti,Wagon R 1.0 LXI CNG,Manual,30014,CNG,365000
54,2013,Maruti,Swift VXI,Manual,56039,Petrol,347000
55,2016,Maruti,Baleno DELTA PETROL 1.2,Manual,62766,CNG,482000
56,2012,Maruti,Swift VXI,Manual,52202,Petrol,295000
57,2017,Maruti,Ertiga VXI CNG,Manual,72571,CNG,756000
58,2018,Maruti,Wagon R 1.0 VXI AMT,Automatic,34473,Petrol,374000
59,2018,Maruti,Celerio VXI CNG,Manual,93779,CNG,381000
60,2012,Maruti,Wagon R 1.0 VXI,Manual,30184,Petrol,241000
61,2016,Maruti,Vitara Brezza ZDI PLUS,Manual,74960,Diesel,636000
62,2020,Maruti,Dzire ZXI PLUS AMT,Automatic,55907,Petrol,598000
63,2016,Maruti,Swift Dzire VXI,Manual,49757,Petrol,451999
64,2017,Maruti,Dzire ZDI PLUS,Manual,92625,Diesel,619000
65,2017,Maruti,Baleno ALPHA DIESEL 1.3,Manual,73436,Diesel,556000
66,2023,Maruti,Dzire ZXI Plus AMT,Automatic,12473,Petrol,844999
67,2020,Maruti,Celerio ZXI,Manual,23043,Petrol,401000
68,2013,Maruti,Wagon R Stingray VXI,Manual,35954,Petrol,299000
69,2022,Maruti,BREZZA ZXI SMART HYBRID ,Manual,5377,Petrol,1183000
70,2016,Maruti,Baleno DELTA CVT PETROL 1.2,Automatic,33929,Petrol,526000
